user,use_tue_laptop,right_handed,platform,platform_version
2734,0,1,Windows,10
2736,1,1,Windows,10
2738,0,1,Windows,10
2742,1,1,Windows,10
2743,1,1,Windows,10
2748,1,0,Windows,10
2750,1,1,Windows,10
2754,1,1,Windows,10
2755,1,1,Windows,10
2756,0,1,Windows,10
2759,1,1,Windows,10
2760,1,1,Windows,10
2763,1,1,Windows,10
2767,1,1,Windows,10
2768,0,1,Windows,10
2770,0,0,Windows,10
2776,1,1,Windows,10
2777,1,1,Windows,10
2779,0,1,Windows,8.1
2780,0,1,Darwin,18.2.0
2781,1,1,Windows,10
2787,0,1,Darwin,18.2.0
2788,1,1,Windows,10
2791,1,1,Windows,10
2793,1,1,Windows,10
2794,1,1,Windows,10
2796,1,1,Windows,10
2797,1,0,Windows,10
2798,1,1,Windows,10
2800,0,1,Windows,10
2802,1,1,Windows,10
2803,1,1,Windows,10
2809,1,1,Windows,10
2810,1,1,Windows,10
2811,1,1,Windows,10
2812,1,1,Windows,10
2815,1,1,Windows,10
2817,1,1,Windows,10
2819,0,1,Windows,10
2820,0,1,Darwin,18.0.0
2821,1,1,Windows,10
2822,1,1,Windows,10
2823,1,1,Windows,10
2826,1,1,Windows,10
2827,1,1,Windows,10
2828,1,1,Windows,10
2829,1,1,Windows,10
2831,1,1,Windows,10
2835,1,1,Windows,10
2840,1,1,Windows,10
2843,0,1,Darwin,18.2.0
2845,1,1,Windows,10
2847,1,1,Windows,10
2849,1,1,Windows,10
2851,1,1,Windows,10
2853,1,1,Windows,10
2856,1,0,Windows,10
2858,1,1,Windows,10
2860,0,1,Windows,10
2862,1,1,Windows,10
2863,1,1,Windows,10
2864,1,1,Windows,10
2865,0,1,Darwin,15.6.0
2869,1,1,Windows,10
2870,0,0,Darwin,18.2.0
2871,1,1,Windows,10
2873,1,1,Windows,10
2875,1,1,Windows,10
2878,1,1,Windows,10
2879,1,1,Windows,10
2883,1,1,Windows,10
2884,1,1,Windows,10
2885,1,1,Windows,10
2886,1,1,Windows,10
2890,1,1,Windows,10
2892,1,1,Windows,10
2899,1,1,Windows,10
2901,1,1,Windows,10
2905,1,1,Windows,10
2909,1,0,Windows,10
2912,1,1,Windows,10
2914,1,1,Windows,10
2920,1,1,Windows,10
2922,1,0,Windows,10
2924,0,1,Windows,10
2925,0,1,Windows,10
2926,1,1,Windows,10
2930,1,1,Windows,10
2936,0,0,Darwin,17.6.0
2938,0,1,Windows,10
2939,1,1,Windows,10
2942,1,1,Windows,10
2945,1,1,Windows,10
2948,1,0,Windows,10
2949,0,1,Darwin,18.2.0
2950,1,1,Windows,10
2951,0,1,Darwin,18.0.0
2952,1,1,Windows,10
2953,1,1,Windows,10
2954,1,0,Windows,10
2956,1,1,Windows,10
2957,1,1,Windows,10
2958,1,1,Windows,10
2967,1,1,Windows,10
2971,1,1,Windows,10
2973,1,1,Windows,10
2983,1,1,Windows,10
2985,1,1,Windows,10
2990,1,1,Windows,10
2995,0,1,Windows,10
2997,0,1,Darwin,18.2.0
