trial,t,x,y
15,0.0,1,-2
15,1.4369095809961436,0,-2
15,2.0179273019966786,-1,-2
15,2.3707310629979474,-2,-2
15,2.411801309994189,-3,-2
15,2.4281598279994796,-3,-1
15,2.4364473239984363,-4,-1
15,2.460851627998636,-5,-1
15,2.469134507999115,-6,-1
15,2.4773362839987385,-6,0
15,2.49366890899546,-7,0
15,2.510381554995547,-8,1
15,2.5265865759938606,-9,1
15,2.5346802279964322,-10,1
15,2.5594240489954245,-11,2
15,2.5674541799962753,-12,2
15,2.583780000997649,-13,3
15,2.5918964379961835,-14,3
15,2.60041027799889,-15,3
15,2.616849705998902,-16,3
15,2.624932730999717,-17,4
15,2.63300481299666,-18,4
15,2.6413261819980107,-19,5
15,2.649435994993837,-20,5
15,2.6575521899940213,-22,6
15,2.665541681999457,-23,6
15,2.6735984459955944,-24,7
15,2.6815348099989933,-25,7
15,2.6895442299937713,-27,8
15,2.698639517999254,-28,9
15,2.7069890149941784,-29,9
15,2.714605532994028,-30,10
15,2.723380711999198,-31,11
15,2.731433904998994,-32,11
15,2.7395854239948676,-32,12
15,2.74769088299945,-33,13
15,2.7558332159969723,-34,13
15,2.764419007995457,-35,14
15,2.772507608999149,-36,14
15,2.7806099219960743,-37,15
15,2.788683332997607,-38,16
15,2.7969258960001753,-39,17
15,2.8055075209995266,-40,18
15,2.8135024119983427,-42,19
15,2.8216760889990837,-43,19
15,2.829753139994864,-44,21
15,2.8380177799990634,-45,22
15,2.8462543939967873,-46,22
15,2.8543831349961692,-47,23
15,2.8626024900004268,-48,24
15,2.8707837619949714,-49,25
15,2.878909710998414,-50,25
15,2.8872295189939905,-51,26
15,2.895475594996242,-52,26
15,2.9040210940002,-52,27
15,2.9126271969944355,-53,27
15,2.9208041349993437,-53,28
15,2.9294853359970148,-54,28
15,2.9375110080000013,-55,29
15,2.9539739179963362,-56,30
15,2.9706033669936005,-57,30
15,2.978620557994873,-57,31
15,2.9866837529989425,-58,31
15,2.9949871199933114,-58,32
15,3.003247904998716,-59,32
15,3.019295913996757,-60,33
15,3.0275170909953886,-61,33
15,3.035732038995775,-62,34
15,3.0439380909956526,-63,34
15,3.052334643994982,-63,35
15,3.0606158589944243,-64,35
15,3.068821273998765,-65,36
15,3.0770302469973103,-66,36
15,3.0852210339944577,-66,37
15,3.0935345649995725,-67,37
15,3.1015831869954127,-68,38
15,3.109684240000206,-69,38
15,3.1181070629972965,-69,39
15,3.126375048996124,-70,39
15,3.1342169049967197,-70,40
15,3.142349055997329,-71,40
15,3.158038517998648,-72,41
15,3.1661938359975466,-73,42
15,3.1748939489989425,-74,42
15,3.183547976994305,-74,43
15,3.1908965179973166,-75,43
15,3.1990222289969097,-76,44
15,3.207180994999362,-77,44
15,3.21549088699976,-77,45
15,3.223787524999352,-78,45
15,3.2314146859935136,-78,46
15,3.2395089309939067,-79,47
15,3.2559744809987023,-80,47
15,3.264284612996562,-81,48
15,3.2724379809951643,-81,49
15,3.2806379350004136,-82,49
15,3.288642606996291,-82,50
15,3.2972759089971078,-83,50
15,3.3056549100001575,-83,51
15,3.313782101999095,-84,51
15,3.3220411019938183,-85,52
15,3.3301294239936396,-86,52
15,3.3384718779998366,-86,53
15,3.3469638699971256,-87,53
15,3.355182970997703,-88,54
15,3.3634793589953915,-89,54
15,3.3716697659983765,-90,55
15,3.3879598319981596,-91,56
15,3.396243715993478,-92,57
15,3.4043491999982507,-93,57
15,3.4126444529974833,-94,58
15,3.4209571149986004,-94,59
15,3.4288871769967955,-95,59
15,3.4371103149969713,-96,60
15,3.4452993129962124,-97,60
15,3.45342283899663,-97,61
15,3.461683946996345,-98,62
15,3.4700864989936235,-99,63
15,3.4781273039989173,-100,64
15,3.486304386999109,-101,64
15,3.4945441739982925,-101,65
15,3.5034278629973414,-102,67
15,3.511499158994411,-103,68
15,3.5194948139978806,-104,69
15,3.527553571999306,-104,70
15,3.5358544959963183,-105,71
15,3.5442208559979917,-106,72
15,3.552384233997145,-106,73
15,3.560600548997172,-107,74
15,3.568576410994865,-108,75
15,3.576769389997935,-108,76
15,3.585099154995987,-109,78
15,3.5933726749935886,-110,79
15,3.601467133994447,-110,80
15,3.609608232000028,-111,81
15,3.617694643995492,-112,82
15,3.6263469329933287,-112,84
15,3.634299844998168,-113,85
15,3.6424971429951256,-114,86
15,3.650794731998758,-114,87
15,3.6587734729982913,-115,89
15,3.6671748679946177,-116,90
15,3.675291189996642,-116,91
15,3.6833625979998033,-117,93
15,3.6917459729957045,-118,94
15,3.6997234979935456,-118,95
15,3.708197272993857,-119,97
15,3.716290467993531,-120,98
15,3.7244835669989698,-120,99
15,3.73255980599788,-121,101
15,3.7408688309951685,-122,102
15,3.749140855994483,-122,104
15,3.757193480996648,-123,105
15,3.7653335409995634,-123,106
15,3.7737791239997023,-124,108
15,3.7819820160002564,-125,110
15,3.790283862996148,-125,111
15,3.7985569269949337,-126,114
15,3.806721112996456,-126,116
15,3.8149920069990912,-126,119
15,3.8226921369932825,-127,120
15,3.831431774997327,-127,122
15,3.8395740519990795,-127,124
15,3.8478642889967887,-127,126
15,3.8559746319951955,-127,127
15,3.864230166997004,-127,129
15,3.872658075997606,-127,131
15,3.880881730998226,-127,133
15,3.8889865210003336,-127,135
15,3.8971173939935397,-127,137
15,3.9051730779974605,-127,139
15,3.913639783997496,-127,141
15,3.9213826389968744,-127,143
15,3.9295177389940363,-127,145
15,3.93752064799628,-127,147
15,3.9456214169986197,-126,149
15,3.954104362994258,-126,151
15,3.9621473339939257,-125,153
15,3.9704073299944866,-123,156
15,3.978486296997289,-123,157
15,3.986879730997316,-121,158
15,3.9951473829933093,-120,162
15,4.003398329994525,-119,163
15,4.011417342997447,-117,165
15,4.019492084000376,-115,167
15,4.0276657750000595,-114,169
15,4.036124261998339,-112,172
15,4.044110779999755,-110,174
15,4.052301632000308,-107,177
15,4.060540015998413,-105,179
15,4.068616687000031,-103,181
15,4.077239146994543,-100,184
15,4.085238048995961,-99,185
15,4.093260876994464,-95,188
15,4.1015098009957,-94,189
15,4.109658123998088,-92,191
15,4.1180340649953,-89,193
15,4.126028392995067,-87,194
15,4.1342834049937665,-85,196
15,4.142474251995736,-83,197
15,4.15056498299964,-82,198
15,4.158766566994018,-78,200
15,4.1669558599969605,-77,201
15,4.175099855994631,-74,202
15,4.183534741998301,-71,204
15,4.191510995995486,-68,206
15,4.199883002998831,-65,208
15,4.208088344996213,-62,210
15,4.215932384999178,-59,212
15,4.224376692000078,-55,214
15,4.232399631997396,-52,215
15,4.240984107993427,-48,217
15,4.248911981994752,-45,218
15,4.257105462995241,-43,219
15,4.265294980999897,-39,221
15,4.273429376997228,-37,222
15,4.281742166996992,-35,223
15,4.289653913998336,-32,224
15,4.298094004996528,-28,226
15,4.30603024699667,-27,226
15,4.31444207799359,-22,227
15,4.322778597997967,-20,228
15,4.33085939999728,-17,229
15,4.33921697599726,-14,230
15,4.347124763997272,-11,230
15,4.355378772997938,-9,231
15,4.363739481996163,-4,232
15,4.371679376999964,-1,233
15,4.379918093996821,2,233
15,4.387650320997636,4,234
15,4.3957093649951275,8,235
15,4.404308715995285,11,235
15,4.412265195998771,15,236
15,4.420378101996903,18,236
15,4.427958375999879,20,236
15,4.436558673995023,22,236
15,4.444522726000287,25,237
15,4.452557794000313,27,237
15,4.460866287998215,30,237
15,4.468869495998661,33,237
15,4.477129798993701,35,237
15,4.485391135996906,39,237
15,4.4934221869989415,42,237
15,4.501643396994041,44,237
15,4.5100614259936265,47,237
15,4.518107432995748,49,237
15,4.526532074996794,53,237
15,4.534475496999221,55,237
15,4.542481342999963,58,237
15,4.550926805997733,60,237
15,4.558924460994604,62,236
15,4.5673806779959705,65,236
15,4.575451175995113,68,234
15,4.5838219090001076,70,234
15,4.591827329997614,72,232
15,4.6001721979992,75,231
15,4.608318257996871,77,230
15,4.616449072993419,80,228
15,4.6247031039965805,83,226
15,4.632778929997585,85,225
15,4.64114308799617,87,224
15,4.649405621996266,91,221
15,4.657317021999916,92,220
15,4.665589918993646,94,218
15,4.67394982699625,97,216
15,4.682039133993385,100,213
15,4.6904207409970695,101,212
15,4.698525982996216,105,209
15,4.706534585995541,107,207
15,4.7149189739939175,108,206
15,4.722928752998996,111,203
15,4.731359257995791,112,201
15,4.739438504999271,114,199
15,4.747922046997701,116,197
15,4.755960006994428,118,194
15,4.764073346996156,119,193
15,4.7724546190002,122,190
15,4.78052381699672,124,187
15,4.78880062099779,125,185
15,4.796895476996724,127,183
15,4.8049296049939585,129,180
15,4.813557592999132,130,177
15,4.821623226998781,132,174
15,4.829646268997749,134,171
15,4.837702382996213,136,167
15,4.846133761995588,137,166
15,4.85427038600028,138,161
15,4.862412876995222,139,160
15,4.870766306994483,140,157
15,4.878781300998526,141,155
15,4.88685376799549,142,152
15,4.895370657999592,144,149
15,4.903435506996175,144,146
15,4.9115709499965305,145,143
15,4.919922023000254,146,141
15,4.927927678996639,146,138
15,4.936159609998867,147,135
15,4.944211783993524,147,132
15,4.952568884000357,147,129
15,4.960683498997241,148,125
15,4.968934749995242,148,122
15,4.977197842999885,148,117
15,4.985275699997146,148,114
15,4.993554254993796,148,110
15,5.001659377994656,148,108
15,5.010029506993305,148,103
15,5.0182189919942175,148,101
15,5.026236284000333,147,96
15,5.034467035999114,147,95
15,5.042624017994967,145,91
15,5.050900037997053,144,88
15,5.059029746000306,143,86
15,5.067081249995681,141,83
15,5.075374881998869,140,82
15,5.083624195998709,139,79
15,5.091692657995736,138,78
15,5.100152378996427,136,76
15,5.1082220030002645,133,73
15,5.116467190993717,131,72
15,5.124461653998878,129,70
15,5.132817789999535,126,68
15,5.1413020709951525,125,68
15,5.1492253549949965,123,66
15,5.157258350998745,120,65
15,5.1655425839999225,118,64
15,5.17385692300013,116,63
15,5.181983199996466,114,62
15,5.190103147993796,111,60
15,5.198319155999343,110,60
15,5.206507769995369,107,59
15,5.214789269994071,104,58
15,5.223021047997463,101,57
15,5.230999392995727,99,56
15,5.239531303996046,97,56
15,5.247560030999011,93,55
15,5.255628107996017,90,54
15,5.263989635997859,88,53
15,5.272122678994492,86,53
15,5.280361342993274,81,52
15,5.288410280998505,78,51
15,5.296690283998032,75,50
15,5.305132929999672,72,49
15,5.31318275299418,68,49
15,5.321243230995606,64,48
15,5.329482260996883,60,47
15,5.337596820994804,58,46
15,5.345985911997559,52,45
15,5.354102252997109,51,45
15,5.362244763993658,48,44
15,5.370447927998612,45,44
15,5.378640006994829,42,44
15,5.3871059759985656,39,43
15,5.395152230994427,36,43
15,5.403169668999908,33,43
15,5.411400098993909,30,42
15,5.41973787099414,27,42
15,5.4279178910001065,24,42
15,5.435976376997132,22,42
15,5.444296433997806,17,42
15,5.452388093995978,16,42
15,5.460734511994815,13,42
15,5.468975232994126,10,42
15,5.476949910000258,8,42
15,5.485206738994748,3,42
15,5.493306497999583,0,42
15,5.501619642993319,-3,42
15,5.510036141997261,-4,42
15,5.518106002993591,-8,42
15,5.526187986994046,-10,42
15,5.534519175998867,-14,42
15,5.5425881989940535,-17,42
15,5.55082811799366,-19,42
15,5.558934495995345,-22,43
15,5.567502876998333,-25,43
15,5.575738499996078,-27,44
15,5.5841762669952,-31,45
15,5.592426934999821,-34,45
15,5.600585045998741,-36,46
15,5.6091021619940875,-39,47
15,5.61754073100019,-42,47
15,5.625530812998477,-43,48
15,5.634188566000375,-46,49
15,5.642219403998752,-48,50
15,5.650213950997568,-50,51
15,5.658562322998478,-52,52
15,5.666758695995668,-54,53
15,5.675204916995426,-56,54
15,5.683345778998046,-57,55
15,5.6914473269935115,-59,57
15,5.699617844999011,-60,58
15,5.707807617000071,-61,59
15,5.716156486996624,-63,60
15,5.7242802109976765,-64,62
15,5.732664219998696,-65,63
15,5.740803130000131,-65,64
15,5.748568376999174,-66,66
15,5.7572133659996325,-67,67
15,5.765276629994332,-68,69
15,5.773361888997897,-68,70
15,5.781488440996327,-68,72
15,5.79002452599525,-69,75
15,5.7981387469990295,-69,77
15,5.806269254993822,-69,78
15,5.814368608000223,-70,82
15,5.822507363998739,-70,83
15,5.830679385995609,-70,85
15,5.83909960299934,-70,88
15,5.847048157993413,-70,90
15,5.855288528997335,-70,92
15,5.863514120996115,-70,95
15,5.871738946996629,-70,99
15,5.880128002994752,-70,100
15,5.888140010996722,-70,104
15,5.8963326509983744,-70,107
15,5.904590820995509,-69,110
15,5.912603832999594,-67,114
15,5.921392480995564,-66,118
15,5.929351937993488,-64,122
15,5.9374285800004145,-63,124
15,5.9455054579957505,-61,127
15,5.95365963599761,-61,130
15,5.962014365999494,-60,132
15,5.9700869689986575,-59,133
15,5.978283521995763,-57,135
15,5.9867349909982295,-55,137
15,5.994781991998025,-55,138
15,6.002975052993861,-54,139
15,6.011177128995769,-52,140
15,6.019356349999725,-50,142
15,6.027365236994228,-48,143
15,6.035778334997303,-47,144
15,6.0440404979963205,-44,145
15,6.05202380999981,-41,147
15,6.060175267994055,-38,147
15,6.06830885099771,-35,149
15,6.0769225289986935,-32,150
15,6.084993698998005,-28,150
15,6.093005523995089,-25,151
15,6.101497986994218,-23,152
15,6.109657062996121,-20,152
15,6.117502917993988,-18,153
15,6.126017479997245,-15,153
15,6.134029626999109,-13,153
15,6.1422468009986915,-10,153
15,6.150254727996071,-8,153
