t,filt_x,filt_y,approximate_speed
0.0,5.017500692245866,1.0525020767075832,0.0027727521032500434
0.001,5.018392391099448,1.0551771732662012,0.002861299380183766
0.002,5.019312081058678,1.0579362431417243,0.0029497050320808904
0.003,5.020259695025456,1.0607790850398378,0.0030378281128888873
0.004,5.021235121526849,1.0637053645417405,0.003125529029104657
0.005,5.0222382052479455,1.0667146157027092,0.0032126702025489853
0.006,5.023268747771914,1.069806243272278,0.0032991167171225948
0.006999999999999999,5.024326508521384,1.0729795255183308,0.0033847369444668447
0.008,5.025411205893682,1.0762336176328442,0.0034694031437081173
0.009000000000000001,5.026522518581033,1.0795675556925093,0.0035529920307426455
0.01,5.027660087065418,1.08298026114326,0.003635385312843099
0.011000000000000001,5.0288235152764695,1.0864705457740391,0.0037164701847685103
0.012,5.030012372399758,1.0900371171415442,0.0037961397829469157
0.013000000000000001,5.031226194821619,1.0936785844047936,0.0038742935947700383
0.013999999999999999,5.03246448819602,1.097393464525693,0.003950837820505157
0.015,5.033726729618079,1.101180188789623,0.004025685685813578
0.016,5.035012369888438,1.1050371095985083,0.0040987577033949575
0.017,5.036320835852152,1.1089625074875262,0.004169981882762492
0.018000000000000002,5.037651532795668,1.1129545983160367,0.004239293887689573
0.019,5.039003846885329,1.1170115405830623,0.004306637141366946
0.02,5.040377147630889,1.121131442817887,0.004371962879793965
0.021,5.0417707903579005,1.1253123709971706,0.004435230154425575
0.022000000000000002,5.043184118673059,1.1295523559410268,0.004496405785519918
0.023,5.04461646690728,1.1338494006422033,0.004555464268075498
0.024,5.0460671625218065,1.1382014874844315,0.004612387632626613
0.025,5.047535528463496,1.1426065853082947,0.004667165263507106
0.026000000000000002,5.0490208854563114,1.1470626562856925,0.004719793677525298
0.027000000000000003,5.050522554216965,1.1515676625667808,0.004770276266232261
0.027999999999999997,5.0520398575837655,1.156119572666498,0.0048186230052097954
0.028999999999999998,5.053572122548799,1.1607163675610763,0.004864850133972282
0.03,5.055118682184677,1.1653560464683828,0.004908979810196644
0.031,5.0566788774584595,1.1700366322895952,0.004951039742101263
0.032,5.058252058926313,1.1747561766932413,0.004991062802804986
0.033,5.059837588303926,1.179512764826375,0.0050290866305144006
0.034,5.0614348399087215,1.184304519641251,0.0050651532183319525
0.035,5.063043201971194,1.1891296058293672,0.005099308497381953
0.036000000000000004,5.064662077813869,1.1939862333583222,0.0051316019168518995
0.037000000000000005,5.06629088689742,1.1988726606101223,0.005162086024363578
0.038,5.0679290657345435,1.2037871971228606,0.005190816049926249
0.039,5.069576068673271,1.2087282059406188,0.005217849496505979
0.04,5.071231368552192,1.213694105579172,0.005243245740004638
0.040999999999999995,5.07289445723104,1.2186833716177219,0.005267065641216268
0.042,5.07456484600074,1.2236945379290571,0.005289371172038359
0.043,5.076242065877817,1.228726197562718,0.0053102250579722034
0.044000000000000004,5.0779256677885005,1.2337770032973987,0.0053296904386456595
0.045,5.079615222648581,1.2388456678804516,0.005347830547830924
0.046,5.081310321345282,1.2439309639735696,0.005364708414150846
0.047,5.083010574627924,1.2490317238246853,0.005380386583383473
0.048,5.084715612914233,1.2541468386869847,0.005394926863034899
0.049,5.086425086019497,1.2592752580062931,0.005408390089575154
0.05,5.088138662815671,1.2644159883984891,0.005420835918510799
0.051,5.089856030827768,1.2695680924385906,0.005432322637241903
0.052000000000000005,5.091576895774587,1.274730687282987,0.005442907000431713
0.053,5.093300981060914,1.2799029431460267,0.005452644087452359
0.054000000000000006,5.095028027228044,1.2850840816515716,0.005461587181277329
0.055,5.096757791369288,1.2902733740795485,0.005469787668059539
0.055999999999999994,5.098490046516903,1.295470139526708,0.005477294956501853
0.057,5.100224581006493,1.3006737429998525,0.0054841564160045325
0.057999999999999996,5.101961197824698,1.3058835934588977,0.005490417332507772
0.059000000000000004,5.103699713945568,1.3110991418259528,0.005496120880853389
0.06,5.105439959660611,1.3163198789755428,0.005501308112455242
0.061,5.107181777907249,1.321545333719922,0.005506017957030647
0.062,5.108925023599845,1.3267750708021642,0.005510287237113915
0.063,5.110669562967188,1.3320086889086191,0.00551415069409326
0.064,5.11241527289986,1.3372458187110008,0.0055176410244995614
0.065,5.1141620403105215,1.3424861209472962,0.005520788925316096
0.066,5.115909761509835,1.3477292845494702,0.005523623147109742
0.067,5.117658341600229,1.3529750248247905,0.005526170553814903
0.068,5.119407693889491,1.3582230816966288,0.005528456188076265
0.069,5.121157739325782,1.3634732180094329,0.005530503341091422
0.07,5.122908405955276,1.3687252179017126,0.0055323336259754715
0.071,5.124659628403472,1.3739788852499568,0.00553396705373462
0.07200000000000001,5.126411347380811,1.3792340421854803,0.005535422110993418
0.073,5.12816350921306,1.3844905276855772,0.0055367158387152424
0.07400000000000001,5.1299160653966505,1.3897481962395084,0.005537863911204892
0.075,5.131668972178933,1.395006916589344,0.005538880714771827
0.076,5.133422190163237,1.400266570545052,0.005539779425500775
0.077,5.135175683938257,1.405527051872722,0.005540572085632697
0.078,5.136929421731368,1.4107882652544586,0.00554126967814877
0.079,5.138683375085151,1.4160501253179965,0.005541882199188871
0.08,5.140437518556467,1.421312555733912,0.0055424187280208965
0.081,5.142191829437218,1.4265754883779165,0.005542887494308968
0.08199999999999999,5.143946287495943,1.4318388625556313,0.005543295942503052
0.083,5.1457008747393065,1.4371026242870322,0.005543650793208972
0.084,5.147455575192471,1.4423667256476118,0.005543958101437132
0.085,5.14921037469743,1.4476311241633413,0.005544223311685693
0.086,5.150965260728215,1.452895782256335,0.0055444513098255755
0.087,5.15272022222205,1.4581606667382436,0.0055446464718078865
